,NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST,SPG,BPG,TOPG,VI,ORTG,DRTG
568,Trevon Scott,Cle,F,25.35,2,5.7,11.9,23.2,0.0,0,0.0,5,0.6,1,0.0,0.5,0.5,3.0,1.0,9.7,0.0,0.0,0.5,0.5,0.0,0.0,107.3,90.9
569,Jay Scrubb,Lac,G,21.58,18,6.7,14.1,20.8,12.2,10,0.7,25,0.48,21,0.286,0.457,0.486,2.7,0.9,6.9,0.4,9.8,0.22,0.17,0.39,5.9,93.3,107.0
570,Wayne Selden,Nyk,G,27.5,3,6.4,13.3,13.2,0.0,4,0.5,2,0.0,2,0.5,0.375,0.434,1.7,0.3,2.8,0.3,7.2,0.0,0.0,0.0,3.3,103.0,113.1
571,Alperen Sengun,Hou,C,19.69,68,19.9,41.5,22.5,19.1,221,0.697,377,0.531,106,0.264,0.501,0.55,9.4,5.3,14.5,2.4,18.9,0.84,0.96,2.01,9.9,106.3,102.5
572,Collin Sexton,Cle,G,23.24,11,28.8,59.9,27.8,15.6,39,0.744,106,0.538,45,0.244,0.487,0.523,16.0,3.3,6.3,2.1,12.0,0.91,0.0,2.82,6.7,95.9,105.7
573,Landry Shamet,Pho,G,25.05,63,20.6,42.9,16.5,7.3,80,0.838,127,0.417,297,0.38,0.525,0.557,8.1,1.8,4.6,1.6,9.8,0.43,0.11,0.57,5.5,112.9,107.4
574,Day'Ron Sharpe,Bro,F,20.4,32,12.2,25.4,21.7,15.2,41,0.585,142,0.592,7,0.286,0.584,0.593,6.2,5.0,22.3,0.5,6.7,0.31,0.47,0.94,8.2,119.3,98.4
575,Pascal Siakam,Tor,F,28.0,63,37.7,78.5,25.6,12.1,345,0.745,897,0.522,199,0.362,0.526,0.565,22.4,8.3,12.0,5.2,22.5,1.22,0.63,2.71,10.5,115.0,103.6
576,Chris Silva,Min,F,25.53,1,3.5,7.3,0.0,,0,0.0,0,0.0,0,0.0,,,0.0,1.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,,
577,Chris Silva,Mia,F,25.53,9,9.7,20.3,14.3,28.3,12,0.833,15,0.533,0,0.0,0.533,0.641,2.9,3.9,22.5,0.8,11.1,0.0,0.11,0.89,8.6,120.1,84.4
